,deal_id,deal_size,deal_date,ceo_id,network,smile,tweet_count,ebk_v,ebk_a,ebk_d
818,168554-98T,19.11,16-Mar-2021,62222-32P,2075.0,rewarding,75.0,0.541895151138306,0.527075707912445,0.547497510910034
819,168741-10T,19.13,18-Mar-2021,162710-56P,65304.0,,140.0,0.513174593448639,0.517731547355652,0.535404860973358
820,183618-10T,19.22,15-Nov-2021,169612-57P,189.0,dominant,100.0,0.498035043478012,0.51452362537384,0.524082064628601
821,184389-04T,19.27,30-Nov-2021,240664-42P,40.0,affiliative,0.0,,,
822,164147-23T,19.36,22-Oct-2021,231071-95P,2278.0,rewarding,113.0,0.508399546146393,0.516221821308136,0.532025337219238
823,179190-01T,19.38,30-Aug-2021,33201-91P,618.0,rewarding,1.0,0.561852753162384,0.525558412075043,0.54971569776535
824,167350-15T,19.42,24-Feb-2021,151003-54P,1028.0,affiliative,4.0,0.52677595615387,0.519959926605225,0.541453778743744
825,177830-56T,19.45,05-Aug-2021,79285-06P,307.0,rewarding,1.0,0.545633137226105,0.514640390872955,0.540362536907196
826,175480-84T,19.47,10-Aug-2021,203284-45P,1559.0,affiliative,399.0,0.513461887836456,0.519463121891022,0.53543347120285
827,171346-33T,19.50,30-Apr-2021,79268-50P,289.0,dominant,47.0,0.531948268413544,0.525705277919769,0.546241700649262
828,169822-72T,19.50,25-Feb-2021,128023-66P,507.0,dominant,46.0,0.507241427898407,0.517591178417206,0.533466935157776
829,171428-68T,19.61,29-Apr-2021,210742-12P,34.0,affiliative,4.0,0.527456283569336,0.52367889881134,0.537970423698425
